framework,framework_version,simulator,architecture,observable,n,k,depth,n_params,n_param_sets,n_grad_components,var_pooled,threshold,configuration_seed,tau_BP,censored
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,2,24,50,1200,0.02418232349150645,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,3,36,50,1800,0.016954255881635825,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,4,48,50,2400,0.01884796813573267,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,5,60,50,3000,0.013772050138741025,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,6,72,50,3600,0.015541990381190824,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,7,84,50,4200,0.011289514373099116,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,8,96,50,4800,0.011806372065436433,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,9,108,50,5400,0.008748130607396152,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,10,120,50,6000,0.00864377499112698,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,11,132,50,6600,0.006603264410043305,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,12,144,50,7200,0.007028272987750036,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,13,156,50,7800,0.0063905018633626885,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,14,168,50,8400,0.006620328530881852,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,15,180,50,9000,0.004501767601105554,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,16,192,50,9600,0.004689342591461177,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,17,204,50,10200,0.0036112453259151234,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,18,216,50,10800,0.00432645542411234,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,19,228,50,11400,0.0029633629677284475,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,20,240,50,12000,0.0034394422756991515,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,21,252,50,12600,0.00239714281189537,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,22,264,50,13200,0.0029097934738951934,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,23,276,50,13800,0.0020394095768835013,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,24,288,50,14400,0.0023321492019499923,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,25,300,50,15000,0.0017276002063020108,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,26,312,50,15600,0.002088708903527969,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,27,324,50,16200,0.0013422895007351309,0.01,2501418362,9,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,12,4,28,336,50,16800,0.0015606794387237701,0.01,2501418362,9,False
