framework,framework_version,simulator,architecture,n,depth,n_samples,mean_entropy,std_entropy,stderr_entropy,mean_normalized_entropy,std_normalized_entropy,stderr_normalized_entropy,seed
PennyLane,0.44.1,lightning.qubit,all_to_all,12,29,50,5.2711249674436615,0.01605355800459875,0.0022703159454446715,0.8785208279072768,0.002675593000766462,0.00037838599090744574,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,30,50,5.268271843579123,0.017353966184683205,0.0024542214339343064,0.8780453072631872,0.0028923276974471943,0.0004090369056557168,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,14,1,50,1.6160803350366522,0.6710768931762245,0.09490460437250174,0.23086861929095037,0.0958681275966035,0.013557800624643105,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,2,50,2.032899797817952,0.6171265274031478,0.0872748704753743,0.29041425683113603,0.08816093248616395,0.012467838639339184,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,3,50,2.0417167635582354,0.5013622624073804,0.07090333111585759,0.2916738233654622,0.07162318034391148,0.01012904730226537,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,4,50,2.6089369427187443,0.5224349935497352,0.07388346533363359,0.37270527753124916,0.07463357050710503,0.010554780761947657,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,5,50,4.05790694122963,0.5062142831915465,0.07158951047564598,0.5797009916042328,0.07231632617022092,0.01022707292509228,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,6,50,5.048796966901691,0.4297211428743282,0.060771746829134145,0.7212567095573845,0.0613887346963326,0.008681678118447734,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,7,50,5.717416368680054,0.2523991044160797,0.03569462365960429,0.8167737669542933,0.036057014916582815,0.005099231951372041,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,8,50,5.966826943657354,0.16459002457461597,0.02327654449847429,0.8524038490939077,0.023512860653516564,0.003325220642639184,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,9,50,6.065941584344671,0.12441004950510444,0.017594237930562685,0.8665630834778101,0.01777286421501492,0.002513462561508955,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,10,50,6.079481777114698,0.0836430395803263,0.011828912097260705,0.8684973967306714,0.01194900565433233,0.0016898445853229579,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,11,50,6.15329037272172,0.0651832416281749,0.009218302435000745,0.8790414818173885,0.009311891661167838,0.0013169003478572486,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,12,50,6.229202041403769,0.030102291106380515,0.0042571068341146325,0.8898860059148243,0.0043003273009115045,0.0006081581191592335,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,13,50,6.254494734888428,0.02397551255110502,0.003390649501461908,0.8934992478412039,0.0034250732215864287,0.00048437850020884363,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,14,50,6.264757533650911,0.012042316132813062,0.0017030406797408552,0.8949653619501302,0.001720330876116155,0.00024329152567726552,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,15,50,6.264736645830552,0.009623468403484813,0.0013609639533277177,0.8949623779757929,0.0013747812004978354,0.0001944234219039604,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,16,50,6.266570238485599,0.013833215253797,0.001956312062314609,0.895224319783657,0.0019761736076852917,0.00027947315175923075,1528416254
PennyLane,0.44.1,lightning.qubit,all_to_all,14,17,50,6.269183557899703,0.011183741886708638,0.001581619945426342,0.895597651128529,0.0015976774123869486,0.0002259457064894775,1528416254
